AUS	LCA	30	-480.04
NER	SVK	0	2360.10
SLB	MNG	0	17.69
JAM	POL	34	-7351.49
LAO	ASA	0	5704.76
NAM	EGY	8	65.98
PNG	JPN	153	-2014.97
ARG	MYS	46	6712.88
CHE	NMR	20	12109.88
BDI	CIV	0	-430.25
KHM	IND	11	10789.68
TUR	PHL	275	114763.57
SWE	IRQ	275	-764715.91
ZAF	CUB	50	68086.01
LCA	COG	0	248.17
ARM	BGD	9	1131.72
MDV	GRC	69	-16145.93
DMA	BOL	0	-95.82
ESP	AFR	644	-71280.38
HRV	MUS	0	137.35
CZE	SAU	28	14044.81
LUX	GTM	0	53.59
COM	SSD	0	539.63
AIA	MEX	0	87.42
ISR	SAS	34	-1850.21
GRC	PLW	0	6.35
MMR	ASA	24	23458.09
ZAF	SAF	20	32792.30
NMR	PRT	2	1563.75
BRA	AFG	65	-4767.56
GNQ	BGR	0	134.98
PLW	KWT	0	1378.68
BEL	ISL	3	5193.03
CAN	VEN	209	-106807.86
MDV	MOZ	4	1617.10
BOL	SGP	0	1037.55
SWE	UKR	119	-33009.60
COD	LUX	0	213.31
BTN	VAT	0	-61.10
UZB	PHL	2	557.23
GNB	KWT	4	-47.24
IRN	DOM	2	1008.37
IRL	ATG	1	11918.12
COD	PSE	0	89.97
GMB	SWZ	3	-620.95
KWT	CZE	7	4413.07
BLZ	MOZ	0	101.13
NLD	MAR	522	-58854.71
DZA	DNK	5	3004.25
SUR	ITA	0	211.86
LKA	KHM	28	9402.04
ARM	CYP	16	38907.32
SWE	SAU	73	18733.79
BLZ	RWA	0	1.59
TTO	THA	1	2395.11
LBR	WST	0	240.63
JOR	TON	4	-3443.22
TON	IRN	0	518.65
CAN	LBR	21	24475.45
IRL	PER	197	7046.11
JPN	PGS	8	4509.26
UKR	CYP	37	44131.38
ZAF	HUN	6	-128.77
MEA	LTU	0	1537.47
SOM	UZB	7	975.85
GMB	NAM	1	1528.58
ERI	BTN	0	21.37
DZA	TUR	92	33879.62
MKD	ZWE	0	-157.03
HND	PSE	1	1289.22
KWT	BMU	0	19.25
VNM	TMP	6	8586.27
SMR	ESP	2	11.36
CUB	BLR	21	19293.03
KGZ	KEN	0	53.52
VNM	SOM	40	70357.09
SRB	TCD	0	42.90
ATG	LBR	2	-119.81
COM	BEL	0	-461.41
EUR	NIC	5	4691.55
MLI	FSM	0	1014.00
GNQ	ARM	0	120.05
FJI	ZAF	1	1989.82
BEN	LTU	0	51.28
VAT	NER	9	-852.34
PSE	SLE	1	-103.61
SVK	PAK	7	4427.31
LSO	PSE	0	193.43
NER	SLB	0	488.44
AUT	GNQ	0	805.80
GRC	MMR	9	4693.59
NER	FJI	0	701.27
AIA	TUR	0	2313.80
NRU	BGD	11	1890.26
SGP	PAK	103	-12738.52
GNQ	OMN	0	277.47
BLZ	SUR	0	2409.10
NLD	PHL	274	60149.91
TCD	AGO	15	16112.19
UZB	LVA	9	14045.79
MHL	MDV	2	644.52
HRV	QAT	0	14009.46
SRB	HTI	0	105.04
ECU	SRB	0	1648.89
BRB	KNA	3	11659.42
SVK	SWZ	0	3.50
PLW	COK	0	4166.38
MOZ	BLR	4	2050.77
DJI	UZB	0	9.06
BDI	MLT	0	327.77
SYC	AFR	31	73505.67
BMU	KHM	0	65.52
TKM	CUB	2	198.15
HTI	CHL	37	-1760.18
EAF	SEN	0	7.22
HUN	PLW	0	480.71
PRT	GNQ	0	3401.09
ARM	BTN	0	113.87
MUS	SYC	18	65088.71
CZE	GRC	42	70153.12
ZAF	AUS	934	-167199.56
SGP	TKM	0	1145.16
ABW	QAT	0	62.00
WSM	FJI	27	31660.67
MNG	BRB	0	5289.10
PRK	FIN	12	40402.90
DNK	PLW	0	1490.16
MEX	MLI	0	-235.67
CYM	ZMB	0	-12.67
YEM	ETH	407	87783.50
ARM	LKA	1	1795.03
ARG	NLD	76	10177.92
LBN	TGO	0	987.51
URY	BLR	2	702.48
GIN	CYP	0	19.42
ALB	CHN	49	30165.50
EUR	WST	323	698217.42
BRB	PHL	4	-5.93
BLR	MOZ	0	2708.80
YEM	BGR	36	-195.56
USA	LUX	288	155286.32
SLV	TTO	0	2805.98
TUN	YEM	56	-9147.86
FRA	DZA	3066	-1167827.88
NOR	BDI	0	935.53
AFR	TWN	41	6554.57
BEN	FJI	0	110.91
AGO	USA	1200	-69611.76
GBR	IRN	4431	2331981.72
MRT	MYS	0	1653.72
IRL	VNM	70	36333.09
GUY	SYC	0	139.04
CAN	ISL	49	58432.27
HRV	BWA	0	104.26
MEX	JAM	50	9366.57
MCO	HUN	8	1215.18
PSE	CIV	0	-20.08
FJI	TWN	4	12356.43
GIN	BLZ	12	-1111.34
COM	TUN	0	189.20
CYP	ZWE	22	1959.72
TGO	PSE	0	-10.88
HRV	MDG	13	-4774.15
ALB	ETH	1	-130.49
MDV	MWI	6	1164.34
USA	YEM	13037	-3142331.07
MCO	BFA	2	628.11
CIV	SWZ	0	341.46
GHA	MKD	0	198.43
LUX	AFR	5	7948.72
LIE	ITA	5	6112.98
KWT	KNA	0	1399.55
FSM	BLR	0	208.21
TWN	HTI	10	29062.65
KNA	QAT	0	2362.56
ARG	GTM	15	8553.83
SYC	AUS	18	31213.47
